t, joint_angle_0, joint_angle_1, joint_angle_2, joint_angle_3, joint_angle_4, joint_angle_5, joint_angle_6, joint_angle_7, joint_angle_8, joint_angle_9, joint_angle_10, joint_angle_11, ctrl_input_0, ctrl_input_1, ctrl_input_2, ctrl_input_3, ctrl_input_4, ctrl_input_5, ctrl_input_6, ctrl_input_7, ctrl_input_8, ctrl_input_9, ctrl_input_10, ctrl_input_11, actuator_torque_0, actuator_torque_1, actuator_torque_2, actuator_torque_3, actuator_torque_4, actuator_torque_5, actuator_torque_6, actuator_torque_7, actuator_torque_8, actuator_torque_9, actuator_torque_10, actuator_torque_11, joint_ref_0, joint_ref_1, joint_ref_2, joint_ref_3, joint_ref_4, joint_ref_5, joint_ref_6, joint_ref_7, joint_ref_8, joint_ref_9, joint_ref_10, joint_ref_11, body_rot_rate_0, body_rot_rate_1, body_rot_rate_2, body_rot_0, body_rot_1, body_rot_2, policy_obs_seq, policy_base_ang_vel_0, policy_base_ang_vel_1, policy_base_ang_vel_2, policy_projected_gravity_0, policy_projected_gravity_1, policy_projected_gravity_2, policy_velocity_command_0, policy_velocity_command_1, policy_velocity_command_2, policy_joint_vel_rel_0, policy_joint_vel_rel_1, policy_joint_vel_rel_2, policy_joint_vel_rel_3, policy_joint_vel_rel_4, policy_joint_vel_rel_5, policy_joint_vel_rel_6, policy_joint_vel_rel_7, policy_joint_vel_rel_8, policy_joint_vel_rel_9, policy_joint_vel_rel_10, policy_joint_vel_rel_11, policy_obs_0, policy_obs_1, policy_obs_2, policy_obs_3, policy_obs_4, policy_obs_5, policy_obs_6, policy_obs_7, policy_obs_8, policy_obs_9, policy_obs_10, policy_obs_11, policy_obs_12, policy_obs_13, policy_obs_14, policy_obs_15, policy_obs_16, policy_obs_17, policy_obs_18, policy_obs_19, policy_obs_20, policy_obs_21, policy_obs_22, policy_obs_23, policy_obs_24, policy_obs_25, policy_obs_26, policy_obs_27, policy_obs_28, policy_obs_29, policy_obs_30, policy_obs_31, policy_obs_32, policy_obs_33, policy_obs_34, policy_obs_35, policy_obs_36, policy_obs_37, policy_obs_38, policy_obs_39, policy_obs_40, policy_obs_41, policy_obs_42, policy_obs_43, policy_obs_44, body_accel_0, body_accel_1, body_accel_2
0.001000, -0.113152, 0.563269, 2.524836, 0.138123, 0.565740, 2.566747, -0.100306, 0.602639, 2.550245, 0.131974, 0.603233, 2.579084, 10.766202, 1.229270, 4.717379, -5.175747, 43.804771, -39.554566, 0.505627, 31.822089, -32.568398, -8.653793, 0.259132, 3.915788, 2.760000, 11.880000, -8.500000, -3.760000, 11.120000, -10.580000, 1.840000, 9.420000, -9.420000, -3.520000, 9.420000, -11.120000, 0.102091, 0.587809, 2.619061, 0.034599, 1.441751, 1.775817, -0.090214, 1.238975, 1.898995, -0.041095, 0.608294, 2.657743, 0.010757, -0.005526, -0.003570, 0.025729, 0.010723, -0.874377, 46865, 0.010757, -0.005526, -0.003570, 0.010723, -0.025725, -0.999611, 0.000000, 0.000000, 0.000000, -0.002697, -0.001526, -0.004072, -0.000319, -0.002807, 0.005358, -0.000696, -0.003524, 0.003953, 0.000232, -0.004065, 0.011411, 0.002689, -0.001381, -0.000893, 0.010723, -0.025725, -0.999611, 0.000000, 0.000000, 0.000000, -0.113152, -0.221731, 0.169036, 0.138123, -0.219260, 0.210948, -0.100306, -0.182361, 0.194445, 0.131974, -0.181767, 0.223284, -0.000135, -0.000076, -0.000204, -0.000016, -0.000140, 0.000268, -0.000035, -0.000176, 0.000198, 0.000012, -0.000203, 0.000571, 0.816730, -0.788765, 1.053045, 0.276790, 2.627003, -2.319932, -0.721711, 1.815900, -1.827218, -0.328759, -0.706825, 1.207770, -0.018321, 0.010919, 0.993180
0.002000, -0.113155, 0.563270, 2.524838, 0.138121, 0.565738, 2.566755, -0.100310, 0.602636, 2.550249, 0.131974, 0.603232, 2.579095, 10.766822, 1.227154, 4.712415, -5.173933, 43.803779, -39.556853, 0.508703, 31.822116, -32.569138, -8.653627, 0.256727, 3.915799, 2.680000, 11.800000, -8.500000, -3.680000, 11.200000, -10.740000, 2.000000, 9.580000, -9.420000, -3.440000, 9.360000, -10.960000, 0.102091, 0.587809, 2.619061, 0.034599, 1.441751, 1.775817, -0.090214, 1.238975, 1.898995, -0.041095, 0.608294, 2.657743, 0.012399, -0.003856, -0.002143, 0.025743, 0.010719, -0.874379, 46865, 0.012399, -0.003856, -0.002143, 0.010719, -0.025738, -0.999611, 0.000000, 0.000000, 0.000000, -0.002999, -0.000160, -0.000852, -0.001440, -0.002102, 0.006616, -0.002592, -0.003431, 0.004291, 0.000121, -0.002440, 0.011048, 0.003100, -0.000964, -0.000536, 0.010719, -0.025738, -0.999611, 0.000000, 0.000000, 0.000000, -0.113155, -0.221730, 0.169038, 0.138121, -0.219262, 0.210955, -0.100310, -0.182364, 0.194449, 0.131974, -0.181768, 0.223295, -0.000150, -0.000008, -0.000043, -0.000072, -0.000105, 0.000331, -0.000130, -0.000172, 0.000215, 0.000006, -0.000122, 0.000552, 0.816730, -0.788765, 1.053045, 0.276790, 2.627003, -2.319932, -0.721711, 1.815900, -1.827218, -0.328759, -0.706825, 1.207770, -0.015262, 0.009975, 0.992533
0.003000, -0.113155, 0.563273, 2.524838, 0.138122, 0.565734, 2.566763, -0.100311, 0.602634, 2.550255, 0.131971, 0.603232, 2.579112, 10.764671, 1.224996, 4.712315, -5.175987, 43.805337, -39.557726, 0.507356, 31.821188, -32.570658, -8.651497, 0.254978, 3.910953, 2.680000, 11.880000, -8.580000, -3.760000, 11.120000, -10.740000, 1.760000, 9.360000, -9.360000, -3.520000, 9.580000, -11.040000, 0.102091, 0.587809, 2.619061, 0.034599, 1.441751, 1.775817, -0.090214, 1.238975, 1.898995, -0.041095, 0.608294, 2.657743, 0.013243, -0.002628, -0.002375, 0.025756, 0.010717, -0.874382, 46865, 0.013243, -0.002628, -0.002375, 0.010716, -0.025752, -0.999611, 0.000000, 0.000000, 0.000000, -0.001565, 0.001190, -0.000763, -0.000115, -0.003007, 0.006954, -0.001671, -0.002745, 0.005105, -0.001210, -0.001273, 0.013724, 0.003311, -0.000657, -0.000594, 0.010716, -0.025752, -0.999611, 0.000000, 0.000000, 0.000000, -0.113155, -0.221727, 0.169038, 0.138122, -0.219266, 0.210963, -0.100311, -0.182366, 0.194456, 0.131971, -0.181768, 0.223312, -0.000078, 0.000059, -0.000038, -0.000006, -0.000150, 0.000348, -0.000084, -0.000137, 0.000255, -0.000061, -0.000064, 0.000686, 0.816730, -0.788765, 1.053045, 0.276790, 2.627003, -2.319932, -0.721711, 1.815900, -1.827218, -0.328759, -0.706825, 1.207770, -0.013488, 0.022553, 0.997029
0.004000, -0.113155, 0.563278, 2.524844, 0.138119, 0.565728, 2.566748, -0.100312, 0.602632, 2.550261, 0.131966, 0.603223, 2.579140, 10.763548, 1.222274, 4.707171, -5.174026, 43.807777, -39.541502, 0.506668, 31.820240, -32.571083, -8.648278, 0.261216, 3.899343, 11.040000, 0.760000, -8.660000, -5.220000, 11.120000, -41.780000, 0.300000, 33.260000, -34.040000, -9.120000, 0.080000, 3.980000, 0.102091, 0.587809, 2.619061, 0.034599, 1.441751, 1.775817, -0.090214, 1.238975, 1.898995, -0.041095, 0.608294, 2.657743, 0.013366, -0.002905, -0.002298, 0.025770, 0.010712, -0.874385, 46865, 0.013366, -0.002905, -0.002298, 0.010712, -0.025766, -0.999611, 0.000000, 0.000000, 0.000000, -0.000817, 0.002849, 0.002467, -0.001333, -0.004434, -0.003374, -0.001190, -0.002069, 0.005211, -0.003178, -0.005121, 0.020532, 0.003341, -0.000726, -0.000575, 0.010712, -0.025766, -0.999611, 0.000000, 0.000000, 0.000000, -0.113155, -0.221722, 0.169044, 0.138119, -0.219272, 0.210948, -0.100312, -0.182368, 0.194461, 0.131966, -0.181777, 0.223340, -0.000041, 0.000142, 0.000123, -0.000067, -0.000222, -0.000169, -0.000060, -0.000103, 0.000261, -0.000159, -0.000256, 0.001027, 0.816730, -0.788765, 1.053045, 0.276790, 2.627003, -2.319932, -0.721711, 1.815900, -1.827218, -0.328759, -0.706825, 1.207770, -0.009288, 0.028216, 0.989400
0.005000, -0.113018, 0.563174, 2.524900, 0.138095, 0.565726, 2.565895, -0.100350, 0.602991, 2.549879, 0.131833, 0.602969, 2.579606, 10.657742, 1.303999, 4.665524, -5.156595, 43.806130, -38.889618, 0.535439, 31.543448, -32.274672, -8.548402, 0.452148, 3.556014, 10.660000, 1.000000, 4.900000, -5.220000, 46.300000, -39.480000, 0.460000, 32.040000, -32.800000, -8.820000, 0.680000, 3.140000, 0.102091, 0.587809, 2.619061, 0.034599, 1.441751, 1.775817, -0.090214, 1.238975, 1.898995, -0.041095, 0.608294, 2.657743, 0.013366, -0.002905, -0.002298, 0.025784, 0.010709, -0.874387, 46865, 0.013366, -0.002905, -0.002298, 0.010709, -0.025779, -0.999610, 0.000000, 0.000000, 0.000000, 0.065148, -0.048172, 0.028345, -0.012155, -0.003269, -0.409534, -0.019084, 0.170497, -0.179680, -0.065323, -0.123954, 0.233860, 0.003341, -0.000726, -0.000575, 0.010709, -0.025779, -0.999610, 0.000000, 0.000000, 0.000000, -0.113018, -0.221826, 0.169100, 0.138095, -0.219274, 0.210095, -0.100350, -0.182009, 0.194079, 0.131833, -0.182031, 0.223806, 0.003257, -0.002409, 0.001417, -0.000608, -0.000163, -0.020477, -0.000954, 0.008525, -0.008984, -0.003266, -0.006198, 0.011693, 0.816730, -0.788765, 1.053045, 0.276790, 2.627003, -2.319932, -0.721711, 1.815900, -1.827218, -0.328759, -0.706825, 1.207770, -0.009288, 0.028216, 0.989400
0.006000, -0.112556, 0.562790, 2.525582, 0.138036, 0.566638, 2.563739, -0.100449, 0.604381, 2.548442, 0.131509, 0.602260, 2.580802, 10.349987, 1.563658, 4.162818, -5.119853, 43.104023, -37.528922, 0.597348, 30.599224, -31.301280, -8.346503, 0.907739, 2.806380, 10.500000, 1.140000, 3.980000, -5.140000, 43.540000, -38.480000, 0.380000, 31.120000, -31.820000, -8.580000, 0.680000, 2.920000, 0.102091, 0.587809, 2.619061, 0.034599, 1.441751, 1.775817, -0.090214, 1.238975, 1.898995, -0.041095, 0.608294, 2.657743, 0.024917, 0.016233, 0.003695, 0.025813, 0.010731, -0.874382, 46865, 0.024917, 0.016233, 0.003695, 0.010730, -0.025808, -0.999609, 0.000000, 0.000000, 0.000000, 0.254917, -0.208495, 0.340757, -0.034675, 0.434398, -1.244781, -0.057072, 0.753640, -0.780716, -0.189115, -0.404023, 0.693758, 0.006229, 0.004058, 0.000924, 0.010730, -0.025808, -0.999609, 0.000000, 0.000000, 0.000000, -0.112556, -0.222210, 0.169782, 0.138036, -0.218362, 0.207939, -0.100449, -0.180619, 0.192642, 0.131509, -0.182740, 0.225002, 0.012746, -0.010425, 0.017038, -0.001734, 0.021720, -0.062239, -0.002854, 0.037682, -0.039036, -0.009456, -0.020201, 0.034688, 0.816730, -0.788765, 1.053045, 0.276790, 2.627003, -2.319932, -0.721711, 1.815900, -1.827218, -0.328759, -0.706825, 1.207770, -0.100569, -0.106659, 0.759506
0.007000, -0.111907, 0.562189, 2.526937, 0.137987, 0.569125, 2.560596, -0.100608, 0.606525, 2.546208, 0.131084, 0.601234, 2.582531, 10.035311, 1.875362, 3.367771, -5.106923, 41.507814, -36.010784, 0.679004, 29.495528, -30.147025, -8.156256, 1.404579, 1.977440, 10.580000, 1.220000, 3.900000, -5.220000, 42.320000, -38.180000, 0.460000, 30.820000, -31.660000, -8.580000, 0.620000, 2.980000, 0.102091, 0.587809, 2.619061, 0.034599, 1.441751, 1.775817, -0.090214, 1.238975, 1.898995, -0.041095, 0.608294, 2.657743, 0.054495, 0.057292, 0.015783, 0.025481, 0.010409, -0.874515, 46865, 0.054495, 0.057292, 0.015783, 0.010409, -0.025476, -0.999621, 0.000000, 0.000000, 0.000000, 0.443085, -0.396257, 0.825625, -0.041652, 1.415646, -2.152122, -0.106183, 1.417999, -1.475739, -0.301787, -0.701073, 1.188750, 0.013624, 0.014323, 0.003946, 0.010409, -0.025476, -0.999621, 0.000000, 0.000000, 0.000000, -0.111907, -0.222811, 0.171137, 0.137987, -0.215875, 0.204796, -0.100608, -0.178475, 0.190408, 0.131084, -0.183766, 0.226731, 0.022154, -0.019813, 0.041281, -0.002083, 0.070782, -0.107606, -0.005309, 0.070900, -0.073787, -0.015089, -0.035054, 0.059437, 0.816730, -0.788765, 1.053045, 0.276790, 2.627003, -2.319932, -0.721711, 1.815900, -1.827218, -0.328759, -0.706825, 1.207770, -0.040506, 0.058209, 0.484982
0.008000, -0.111204, 0.561510, 2.528792, 0.137971, 0.572923, 2.556753, -0.100818, 0.609250, 2.543479, 0.130593, 0.600074, 2.584638, 9.813700, 2.112168, 2.536866, -5.125047, 39.609101, -34.606029, 0.763747, 28.421361, -29.111715, -7.996248, 1.792071, 1.213884, 10.420000, 1.380000, 3.760000, -5.140000, 42.000000, -37.640000, 0.380000, 30.440000, -31.500000, -8.440000, 0.620000, 2.840000, 0.102091, 0.587809, 2.619061, 0.034599, 1.441751, 1.775817, -0.090214, 1.238975, 1.898995, -0.041095, 0.608294, 2.657743, 0.022048, 0.073933, 0.015316, 0.025493, 0.010488, -0.874500, 46865, 0.022048, 0.073933, 0.015316, 0.010487, -0.025488, -0.999620, 0.000000, 0.000000, 0.000000, 0.567390, -0.531491, 1.317732, -0.029059, 2.554843, -2.960527, -0.155687, 2.043251, -2.074977, -0.392103, -0.920718, 1.627568, 0.005512, 0.018483, 0.003829, 0.010487, -0.025488, -0.999620, 0.000000, 0.000000, 0.000000, -0.111204, -0.223490, 0.172992, 0.137971, -0.212077, 0.200953, -0.100818, -0.175750, 0.187679, 0.130593, -0.184926, 0.228838, 0.028369, -0.026575, 0.065887, -0.001453, 0.127742, -0.148026, -0.007784, 0.102163, -0.103749, -0.019605, -0.046036, 0.081378, 0.816730, -0.788765, 1.053045, 0.276790, 2.627003, -2.319932, -0.721711, 1.815900, -1.827218, -0.328759, -0.706825, 1.207770, 0.097901, -0.106199, 0.816886
0.009000, -0.110417, 0.560863, 2.531051, 0.137947, 0.577662, 2.552571, -0.101045, 0.612332, 2.540556, 0.130005, 0.598885, 2.586977, 9.616879, 2.227472, 1.748845, -5.126989, 37.806174, -33.520544, 0.825756, 27.522344, -28.357525, -7.825927, 2.044003, 0.586776, 10.120000, 1.460000, 3.760000, -4.980000, 42.380000, -36.720000, 0.300000, 29.980000, -30.960000, -8.120000, 0.920000, 2.300000, 0.102091, 0.587809, 2.619061, 0.034599, 1.441751, 1.775817, -0.090214, 1.238975, 1.898995, -0.041095, 0.608294, 2.657743, 0.060059, 0.096859, 0.005028, 0.025565, 0.010591, -0.874499, 46865, 0.060059, 0.096859, 0.005028, 0.010591, -0.025561, -0.999617, 0.000000, 0.000000, 0.000000, 0.672371, -0.586788, 1.767779, -0.026944, 3.598847, -3.544767, -0.189481, 2.539865, -2.480343, -0.486031, -1.049036, 1.967676, 0.015015, 0.024215, 0.001257, 0.010591, -0.025561, -0.999617, 0.000000, 0.000000, 0.000000, -0.110417, -0.224137, 0.175251, 0.137947, -0.207338, 0.196771, -0.101045, -0.172668, 0.184756, 0.130005, -0.186115, 0.231177, 0.033619, -0.029339, 0.088389, -0.001347, 0.179942, -0.177238, -0.009474, 0.126993, -0.124017, -0.024302, -0.052452, 0.098384, 0.816730, -0.788765, 1.053045, 0.276790, 2.627003, -2.319932, -0.721711, 1.815900, -1.827218, -0.328759, -0.706825, 1.207770, 0.146852, -0.346429, 0.560011
0.010000, -0.109507, 0.560298, 2.533568, 0.137848, 0.582986, 2.548421, -0.101234, 0.615489, 2.537740, 0.129318, 0.597780, 2.589437, 9.400344, 2.239781, 1.085404, -5.070206, 36.303005, -32.879088, 0.834926, 26.921766, -27.975777, -7.647886, 2.139551, 0.110111, 9.660000, 1.760000, 2.600000, -4.900000, 41.920000, -35.800000, 0.300000, 29.280000, -30.200000, -8.040000, 1.380000, 1.840000, 0.102091, 0.587809, 2.619061, 0.034599, 1.441751, 1.775817, -0.090214, 1.238975, 1.898995, -0.041095, 0.608294, 2.657743, 0.093604, 0.182757, 0.008774, 0.025670, 0.010800, -0.874491, 46865, 0.093604, 0.182757, 0.008774, 0.010800, -0.025665, -0.999612, 0.000000, 0.000000, 0.000000, 0.786368, -0.576175, 2.126161, -0.061492, 4.423505, -3.834076, -0.189291, 2.835011, -2.640965, -0.581845, -1.075895, 2.203427, 0.023401, 0.045689, 0.002194, 0.010800, -0.025665, -0.999612, 0.000000, 0.000000, 0.000000, -0.109507, -0.224702, 0.177768, 0.137848, -0.202015, 0.192621, -0.101234, -0.169511, 0.181940, 0.129318, -0.187220, 0.233638, 0.039318, -0.028809, 0.106308, -0.003075, 0.221175, -0.191704, -0.009465, 0.141751, -0.132048, -0.029092, -0.053795, 0.110171, 0.816730, -0.788765, 1.053045, 0.276790, 2.627003, -2.319932, -0.721711, 1.815900, -1.827218, -0.328759, -0.706825, 1.207770, -0.210749, -0.303656, 0.801998
