t, joint_angle_0, joint_angle_1, joint_angle_2, joint_angle_3, joint_angle_4, joint_angle_5, joint_angle_6, joint_angle_7, joint_angle_8, joint_angle_9, joint_angle_10, joint_angle_11, ctrl_input_0, ctrl_input_1, ctrl_input_2, ctrl_input_3, ctrl_input_4, ctrl_input_5, ctrl_input_6, ctrl_input_7, ctrl_input_8, ctrl_input_9, ctrl_input_10, ctrl_input_11, actuator_torque_0, actuator_torque_1, actuator_torque_2, actuator_torque_3, actuator_torque_4, actuator_torque_5, actuator_torque_6, actuator_torque_7, actuator_torque_8, actuator_torque_9, actuator_torque_10, actuator_torque_11, joint_ref_0, joint_ref_1, joint_ref_2, joint_ref_3, joint_ref_4, joint_ref_5, joint_ref_6, joint_ref_7, joint_ref_8, joint_ref_9, joint_ref_10, joint_ref_11, body_rot_rate_0, body_rot_rate_1, body_rot_rate_2, body_rot_0, body_rot_1, body_rot_2, policy_obs_seq, policy_base_ang_vel_0, policy_base_ang_vel_1, policy_base_ang_vel_2, policy_projected_gravity_0, policy_projected_gravity_1, policy_projected_gravity_2, policy_velocity_command_0, policy_velocity_command_1, policy_velocity_command_2, policy_joint_vel_rel_0, policy_joint_vel_rel_1, policy_joint_vel_rel_2, policy_joint_vel_rel_3, policy_joint_vel_rel_4, policy_joint_vel_rel_5, policy_joint_vel_rel_6, policy_joint_vel_rel_7, policy_joint_vel_rel_8, policy_joint_vel_rel_9, policy_joint_vel_rel_10, policy_joint_vel_rel_11, policy_obs_0, policy_obs_1, policy_obs_2, policy_obs_3, policy_obs_4, policy_obs_5, policy_obs_6, policy_obs_7, policy_obs_8, policy_obs_9, policy_obs_10, policy_obs_11, policy_obs_12, policy_obs_13, policy_obs_14, policy_obs_15, policy_obs_16, policy_obs_17, policy_obs_18, policy_obs_19, policy_obs_20, policy_obs_21, policy_obs_22, policy_obs_23, policy_obs_24, policy_obs_25, policy_obs_26, policy_obs_27, policy_obs_28, policy_obs_29, policy_obs_30, policy_obs_31, policy_obs_32, policy_obs_33, policy_obs_34, policy_obs_35, policy_obs_36, policy_obs_37, policy_obs_38, policy_obs_39, policy_obs_40, policy_obs_41, policy_obs_42, policy_obs_43, policy_obs_44, body_accel_0, body_accel_1, body_accel_2
0.001000, -0.099673, 0.564214, 2.597166, 0.131991, 0.601821, 2.564831, -0.134405, 0.543147, 2.604555, 0.116375, 0.599125, 2.581278, 9.233234, 44.988550, -40.992907, -12.011287, -1.561641, 4.589343, 11.813506, 21.650107, -31.494957, -0.154178, 21.797606, -33.722265, 2.920000, 13.180000, -11.720000, -3.440000, 9.960000, -10.420000, 3.680000, 13.040000, -12.260000, -2.920000, 10.420000, -11.260000, 0.084958, 1.463679, 1.778042, -0.108304, 0.570689, 2.656603, 0.101938, 0.976055, 1.974863, 0.113584, 1.035298, 1.906692, -0.026021, 0.007053, 0.003215, -0.096096, -0.005723, -0.939207, 52294, -0.026021, 0.007053, 0.003215, -0.005723, 0.095946, -0.995370, 0.000000, 0.000000, 0.000000, -0.001140, -0.010181, 0.024458, -0.002309, 0.003374, -0.000508, 0.002427, -0.003139, 0.006901, 0.009742, 0.007345, -0.004665, -0.006505, 0.001763, 0.000804, -0.005723, 0.095946, -0.995370, 0.000000, 0.000000, 0.000000, -0.099673, -0.220786, 0.241366, 0.131991, -0.183179, 0.209031, -0.134405, -0.241853, 0.248755, 0.116375, -0.185875, 0.225478, -0.000057, -0.000509, 0.001223, -0.000115, 0.000169, -0.000025, 0.000121, -0.000157, 0.000345, 0.000487, 0.000367, -0.000233, 0.679661, 2.714718, -2.311032, -0.866430, -0.857244, 1.203211, 0.815501, 0.764218, -1.523747, 0.908671, 1.001191, -1.796430, 0.009179, -0.093073, 0.985461
0.002000, -0.099672, 0.564211, 2.597186, 0.131990, 0.601824, 2.564832, -0.134407, 0.543146, 2.604561, 0.116385, 0.599138, 2.581278, 9.231395, 44.983802, -40.990179, -12.011921, -1.561775, 4.588468, 11.816268, 21.648367, -31.494605, -0.154342, 21.793169, -33.725611, 2.920000, 13.260000, -11.580000, -3.440000, 9.960000, -10.420000, 3.520000, 13.040000, -12.180000, -2.920000, 10.420000, -11.260000, 0.084958, 1.463679, 1.778042, -0.108304, 0.570689, 2.656603, 0.101938, 0.976055, 1.974863, 0.113584, 1.035298, 1.906692, -0.026428, 0.008222, 0.002768, -0.096122, -0.005714, -0.939203, 52294, -0.026428, 0.008222, 0.002768, -0.005714, 0.095973, -0.995368, 0.000000, 0.000000, 0.000000, 0.000042, -0.006905, 0.021996, -0.001841, 0.003353, 0.000053, 0.000630, -0.001956, 0.006467, 0.009541, 0.009881, -0.002435, -0.006607, 0.002055, 0.000692, -0.005714, 0.095973, -0.995368, 0.000000, 0.000000, 0.000000, -0.099672, -0.220789, 0.241386, 0.131990, -0.183176, 0.209032, -0.134407, -0.241854, 0.248761, 0.116385, -0.185862, 0.225478, 0.000002, -0.000345, 0.001100, -0.000092, 0.000168, 0.000003, 0.000031, -0.000098, 0.000323, 0.000477, 0.000494, -0.000122, 0.679661, 2.714718, -2.311032, -0.866430, -0.857244, 1.203211, 0.815501, 0.764218, -1.523747, 0.908671, 1.001191, -1.796430, 0.005419, -0.098624, 0.987373
0.003000, -0.099670, 0.564206, 2.597186, 0.131989, 0.601825, 2.564832, -0.134413, 0.543148, 2.604569, 0.116390, 0.599143, 2.581271, 9.229893, 44.982426, -40.974405, -12.012731, -1.560392, 4.588506, 11.821317, 21.645431, -31.496096, -0.151586, 21.796170, -33.722250, 2.840000, 13.260000, -11.580000, -3.380000, 9.960000, -10.500000, 3.520000, 13.040000, -11.880000, -2.920000, 10.340000, -11.200000, 0.084958, 1.463679, 1.778042, -0.108304, 0.570689, 2.656603, 0.101938, 0.976055, 1.974863, 0.113584, 1.035298, 1.906692, -0.025356, 0.007513, 0.002077, -0.096147, -0.005708, -0.939201, 52294, -0.025356, 0.007513, 0.002077, -0.005707, 0.095997, -0.995365, 0.000000, 0.000000, 0.000000, 0.000977, -0.005832, 0.011479, -0.001279, 0.002386, 0.000028, -0.002536, -0.000066, 0.007195, 0.007526, 0.007704, -0.004454, -0.006339, 0.001878, 0.000519, -0.005707, 0.095997, -0.995365, 0.000000, 0.000000, 0.000000, -0.099670, -0.220794, 0.241386, 0.131989, -0.183175, 0.209032, -0.134413, -0.241852, 0.248769, 0.116390, -0.185857, 0.225471, 0.000049, -0.000292, 0.000574, -0.000064, 0.000119, 0.000001, -0.000127, -0.000003, 0.000360, 0.000376, 0.000385, -0.000223, 0.679661, 2.714718, -2.311032, -0.866430, -0.857244, 1.203211, 0.815501, 0.764218, -1.523747, 0.908671, 1.001191, -1.796430, -0.000046, -0.102549, 0.985887
0.004000, -0.099668, 0.564208, 2.597118, 0.131989, 0.601827, 2.564843, -0.134416, 0.543157, 2.604576, 0.116393, 0.599162, 2.581271, 9.229061, 44.976711, -40.914584, -12.013649, -1.560213, 4.579843, 11.822052, 21.638233, -31.496044, -0.148232, 21.786882, -33.725444, 9.420000, 48.360000, -43.240000, -12.640000, 9.960000, 4.600000, 12.340000, 22.460000, -32.960000, -0.160000, 22.620000, -11.200000, 0.084958, 1.463679, 1.778042, -0.108304, 0.570689, 2.656603, 0.101938, 0.976055, 1.974863, 0.113584, 1.035298, 1.906692, -0.022894, 0.007389, 0.002310, -0.096169, -0.005701, -0.939198, 52294, -0.022894, 0.007389, 0.002310, -0.005700, 0.096019, -0.995363, 0.000000, 0.000000, 0.000000, 0.001465, -0.002089, -0.026160, -0.000668, 0.002200, 0.005426, -0.002915, 0.004422, 0.006938, 0.005201, 0.013252, -0.002324, -0.005723, 0.001847, 0.000578, -0.005700, 0.096019, -0.995363, 0.000000, 0.000000, 0.000000, -0.099668, -0.220792, 0.241318, 0.131989, -0.183173, 0.209043, -0.134416, -0.241843, 0.248776, 0.116393, -0.185838, 0.225471, 0.000073, -0.000104, -0.001308, -0.000033, 0.000110, 0.000271, -0.000146, 0.000221, 0.000347, 0.000260, 0.000663, -0.000116, 0.679661, 2.714718, -2.311032, -0.866430, -0.857244, 1.203211, 0.815501, 0.764218, -1.523747, 0.908671, 1.001191, -1.796430, -0.001154, -0.093969, 0.990933
0.005000, -0.099493, 0.564774, 2.595588, 0.131852, 0.601833, 2.565284, -0.134213, 0.543380, 2.604270, 0.116438, 0.599352, 2.581251, 9.201263, 44.058220, -39.608874, -11.717396, -1.791992, 4.242216, 11.517906, 22.180302, -31.772590, -0.018706, 21.106778, -33.471777, 8.960000, 46.140000, -40.780000, -12.180000, -1.840000, 3.760000, 11.720000, 21.540000, -31.500000, -0.220000, 21.920000, -35.180000, 0.087057, 1.454023, 1.781046, -0.104473, 0.566114, 2.656535, 0.099012, 0.990255, 1.964544, 0.116805, 1.024407, 1.911492, -0.025179, -0.004417, -0.001773, -0.096195, -0.005710, -0.939200, 52312, -0.025179, -0.004417, -0.001773, -0.005710, 0.096045, -0.995361, 0.000000, 0.000000, 0.000000, 0.084165, 0.269485, -0.745479, -0.065923, 0.004013, 0.213562, 0.095567, 0.108946, -0.142490, 0.024679, 0.097320, -0.010763, -0.006295, -0.001104, -0.000443, -0.005710, 0.096045, -0.995361, 0.000000, 0.000000, 0.000000, -0.099493, -0.220226, 0.239788, 0.131852, -0.183167, 0.209484, -0.134213, -0.241620, 0.248470, 0.116438, -0.185649, 0.225451, 0.004208, 0.013474, -0.037274, -0.003296, 0.000201, 0.010678, 0.004778, 0.005447, -0.007124, 0.001234, 0.004866, -0.000538, 0.696457, 2.676091, -2.299016, -0.835788, -0.875544, 1.202941, 0.792098, 0.821019, -1.565025, 0.934438, 0.957626, -1.777230, 0.110905, -0.052650, 1.023390
0.006000, -0.099074, 0.566356, 2.595588, 0.131198, 0.601564, 2.566463, -0.133668, 0.543962, 2.602690, 0.116599, 0.600317, 2.578679, 8.940346, 43.037374, -40.143511, -11.263093, -1.582249, 3.490793, 11.168119, 21.812018, -30.662710, -0.124104, 20.435948, -31.506371, 8.900000, 45.140000, -40.780000, -11.960000, -1.220000, 3.440000, 11.580000, 21.380000, -30.580000, -0.300000, 21.300000, -32.880000, 0.087057, 1.454023, 1.781046, -0.104473, 0.566114, 2.656535, 0.099012, 0.990255, 1.964544, 0.116805, 1.024407, 1.911492, -0.040136, -0.039374, -0.013591, -0.096239, -0.005762, -0.939217, 52312, -0.040136, -0.039374, -0.013591, -0.005762, 0.096089, -0.995356, 0.000000, 0.000000, 0.000000, 0.244150, 0.897296, -0.389055, -0.346998, -0.126827, 0.675207, 0.310583, 0.335073, -0.829746, 0.089595, 0.512360, -1.235302, -0.010034, -0.009844, -0.003398, -0.005762, 0.096089, -0.995356, 0.000000, 0.000000, 0.000000, -0.099074, -0.218644, 0.239788, 0.131198, -0.183436, 0.210663, -0.133668, -0.241038, 0.246891, 0.116599, -0.184683, 0.222879, 0.012208, 0.044865, -0.019453, -0.017350, -0.006341, 0.033760, 0.015529, 0.016754, -0.041487, 0.004480, 0.025618, -0.061765, 0.696457, 2.676091, -2.299016, -0.835788, -0.875544, 1.202941, 0.792098, 0.821019, -1.565025, 0.934438, 0.957626, -1.777230, 0.078455, 0.180259, 1.330353
0.007000, -0.098505, 0.568675, 2.589084, 0.130644, 0.600833, 2.568245, -0.132928, 0.544757, 2.601268, 0.116859, 0.601139, 2.578679, 8.678731, 41.901859, -35.432765, -11.086474, -1.112374, 2.607686, 10.823388, 21.442967, -30.166253, -0.259562, 20.172591, -32.392295, 8.960000, 44.680000, -39.780000, -11.880000, -1.140000, 3.300000, 11.580000, 21.540000, -30.500000, -0.300000, 21.460000, -32.880000, 0.087057, 1.454023, 1.781046, -0.104473, 0.566114, 2.656535, 0.099012, 0.990255, 1.964544, 0.116805, 1.024407, 1.911492, -0.075952, -0.078351, -0.025625, -0.096326, -0.005857, -0.939246, 52312, -0.075952, -0.078351, -0.025625, -0.005856, 0.096176, -0.995347, 0.000000, 0.000000, 0.000000, 0.399586, 1.577008, -3.312749, -0.446257, -0.415709, 1.204534, 0.515746, 0.554630, -1.113291, 0.171223, 0.660523, -0.644686, -0.018988, -0.019588, -0.006406, -0.005856, 0.096176, -0.995347, 0.000000, 0.000000, 0.000000, -0.098505, -0.216325, 0.233284, 0.130644, -0.184167, 0.212445, -0.132928, -0.240243, 0.245468, 0.116859, -0.183861, 0.222879, 0.019979, 0.078850, -0.165637, -0.022313, -0.020785, 0.060227, 0.025787, 0.027732, -0.055665, 0.008561, 0.033026, -0.032234, 0.696457, 2.676091, -2.299016, -0.835788, -0.875544, 1.202941, 0.792098, 0.821019, -1.565025, 0.934438, 0.957626, -1.777230, 0.054759, 0.286858, 0.687349
0.008000, -0.098019, 0.571396, 2.589084, 0.129811, 0.599861, 2.570499, -0.132050, 0.545597, 2.598970, 0.117198, 0.602344, 2.572792, 8.592437, 40.945306, -37.808574, -10.768048, -0.664777, 1.742569, 10.519554, 21.195623, -29.201988, -0.396750, 19.721795, -28.338369, 8.960000, 43.620000, -39.780000, -11.580000, -1.380000, 3.220000, 11.340000, 22.080000, -31.040000, -0.160000, 21.080000, -32.340000, 0.087057, 1.454023, 1.781046, -0.104473, 0.566114, 2.656535, 0.099012, 0.990255, 1.964544, 0.116805, 1.024407, 1.911492, -0.148741, -0.055945, -0.013197, -0.096498, -0.005907, -0.939256, 52312, -0.148741, -0.055945, -0.013197, -0.005907, 0.096347, -0.995330, 0.000000, 0.000000, 0.000000, 0.440914, 2.124008, -1.728876, -0.630800, -0.681705, 1.706155, 0.689030, 0.691497, -1.679546, 0.251386, 0.920884, -3.151073, -0.037185, -0.013986, -0.003299, -0.005907, 0.096347, -0.995330, 0.000000, 0.000000, 0.000000, -0.098019, -0.213604, 0.233284, 0.129811, -0.185139, 0.214699, -0.132050, -0.239403, 0.243170, 0.117198, -0.182656, 0.216992, 0.022046, 0.106200, -0.086444, -0.031540, -0.034085, 0.085308, 0.034451, 0.034575, -0.083977, 0.012569, 0.046044, -0.157554, 0.696457, 2.676091, -2.299016, -0.835788, -0.875544, 1.202941, 0.792098, 0.821019, -1.565025, 0.934438, 0.957626, -1.777230, 0.160456, 0.287585, 0.052592
0.009000, -0.097038, 0.574252, 2.580482, 0.128951, 0.598762, 2.573060, -0.131035, 0.546408, 2.596459, 0.117593, 0.603474, 2.569436, 8.155765, 40.277868, -32.449767, -10.560518, -0.310897, 1.001222, 10.235285, 21.069420, -28.479866, -0.519353, 19.515441, -28.023410, 8.660000, 42.700000, -39.560000, -11.120000, -1.460000, 2.600000, 11.120000, 21.840000, -30.200000, -0.220000, 20.540000, -30.900000, 0.087057, 1.454023, 1.781046, -0.104473, 0.566114, 2.656535, 0.099012, 0.990255, 1.964544, 0.116805, 1.024407, 1.911492, -0.217420, 0.073729, 0.011144, -0.096737, -0.005791, -0.939237, 52312, -0.217420, 0.073729, 0.011144, -0.005791, 0.096585, -0.995308, 0.000000, 0.000000, 0.000000, 0.699316, 2.473780, -5.014702, -0.740480, -0.881007, 2.115010, 0.844720, 0.748601, -2.077249, 0.319961, 1.020792, -3.249171, -0.054355, 0.018432, 0.002786, -0.005791, 0.096585, -0.995308, 0.000000, 0.000000, 0.000000, -0.097038, -0.210748, 0.224682, 0.128951, -0.186238, 0.217261, -0.131035, -0.238592, 0.240659, 0.117593, -0.181526, 0.213636, 0.034966, 0.123689, -0.250735, -0.037024, -0.044050, 0.105751, 0.042236, 0.037430, -0.103862, 0.015998, 0.051040, -0.162459, 0.696457, 2.676091, -2.299016, -0.835788, -0.875544, 1.202941, 0.792098, 0.821019, -1.565025, 0.934438, 0.957626, -1.777230, 0.459761, -0.151486, 0.346551
0.010000, -0.096298, 0.576929, 2.576291, 0.128074, 0.597604, 2.575791, -0.129929, 0.547124, 2.594002, 0.117988, 0.604417, 2.569436, 8.089823, 39.998165, -32.830838, -10.418368, -0.053981, 0.423358, 9.992186, 21.057212, -28.085359, -0.593287, 19.524266, -30.353623, 8.120000, 42.000000, -35.180000, -10.880000, -1.380000, 2.000000, 10.800000, 21.760000, -30.280000, -0.160000, 20.700000, -30.900000, 0.087057, 1.454023, 1.781046, -0.104473, 0.566114, 2.656535, 0.099012, 0.990255, 1.964544, 0.116805, 1.024407, 1.911492, -0.190297, 0.235227, 0.028343, -0.096919, -0.005501, -0.939204, 52312, -0.190297, 0.235227, 0.028343, -0.005501, 0.096766, -0.995292, 0.000000, 0.000000, 0.000000, 0.718621, 2.571011, -4.620950, -0.805997, -1.013668, 2.409240, 0.969902, 0.732882, -2.258383, 0.356067, 0.983483, -1.695695, -0.047574, 0.058807, 0.007086, -0.005501, 0.096766, -0.995292, 0.000000, 0.000000, 0.000000, -0.096298, -0.208071, 0.220491, 0.128074, -0.187396, 0.219991, -0.129929, -0.237876, 0.238203, 0.117988, -0.180583, 0.213636, 0.035931, 0.128551, -0.231047, -0.040300, -0.050683, 0.120462, 0.048495, 0.036644, -0.112919, 0.017803, 0.049174, -0.084785, 0.696457, 2.676091, -2.299016, -0.835788, -0.875544, 1.202941, 0.792098, 0.821019, -1.565025, 0.934438, 0.957626, -1.777230, 0.414544, -0.528244, 0.847175
