t, joint_angle_0, joint_angle_1, joint_angle_2, joint_angle_3, joint_angle_4, joint_angle_5, joint_angle_6, joint_angle_7, joint_angle_8, joint_angle_9, joint_angle_10, joint_angle_11, ctrl_input_0, ctrl_input_1, ctrl_input_2, ctrl_input_3, ctrl_input_4, ctrl_input_5, ctrl_input_6, ctrl_input_7, ctrl_input_8, ctrl_input_9, ctrl_input_10, ctrl_input_11, actuator_torque_0, actuator_torque_1, actuator_torque_2, actuator_torque_3, actuator_torque_4, actuator_torque_5, actuator_torque_6, actuator_torque_7, actuator_torque_8, actuator_torque_9, actuator_torque_10, actuator_torque_11, joint_ref_0, joint_ref_1, joint_ref_2, joint_ref_3, joint_ref_4, joint_ref_5, joint_ref_6, joint_ref_7, joint_ref_8, joint_ref_9, joint_ref_10, joint_ref_11, body_rot_rate_0, body_rot_rate_1, body_rot_rate_2, body_rot_0, body_rot_1, body_rot_2, policy_obs_seq, policy_base_ang_vel_0, policy_base_ang_vel_1, policy_base_ang_vel_2, policy_projected_gravity_0, policy_projected_gravity_1, policy_projected_gravity_2, policy_velocity_command_0, policy_velocity_command_1, policy_velocity_command_2, policy_joint_vel_rel_0, policy_joint_vel_rel_1, policy_joint_vel_rel_2, policy_joint_vel_rel_3, policy_joint_vel_rel_4, policy_joint_vel_rel_5, policy_joint_vel_rel_6, policy_joint_vel_rel_7, policy_joint_vel_rel_8, policy_joint_vel_rel_9, policy_joint_vel_rel_10, policy_joint_vel_rel_11, policy_obs_0, policy_obs_1, policy_obs_2, policy_obs_3, policy_obs_4, policy_obs_5, policy_obs_6, policy_obs_7, policy_obs_8, policy_obs_9, policy_obs_10, policy_obs_11, policy_obs_12, policy_obs_13, policy_obs_14, policy_obs_15, policy_obs_16, policy_obs_17, policy_obs_18, policy_obs_19, policy_obs_20, policy_obs_21, policy_obs_22, policy_obs_23, policy_obs_24, policy_obs_25, policy_obs_26, policy_obs_27, policy_obs_28, policy_obs_29, policy_obs_30, policy_obs_31, policy_obs_32, policy_obs_33, policy_obs_34, policy_obs_35, policy_obs_36, policy_obs_37, policy_obs_38, policy_obs_39, policy_obs_40, policy_obs_41, policy_obs_42, policy_obs_43, policy_obs_44, body_accel_0, body_accel_1, body_accel_2
0.001000, -0.105558, 0.570311, 2.584261, 0.103211, 0.629802, 2.531015, -0.116548, 0.562702, 2.566784, 0.046906, 0.676034, 2.556128, 10.506723, -6.716651, -3.801231, 0.496625, 10.967583, -19.793678, 3.428141, 44.526501, -52.014979, -4.597149, -16.757622, 1.962053, 2.920000, 12.260000, -11.500000, -2.600000, 8.580000, -8.820000, 3.140000, 12.040000, -10.420000, -1.680000, 8.500000, -9.280000, 0.104711, 0.436531, 2.507873, 0.113258, 0.848717, 2.135690, -0.047662, 1.453890, 1.526213, -0.045015, 0.340426, 2.595700, 0.066817, 0.007190, 0.002196, -0.135643, 0.003834, -0.881054, 60782, 0.066817, 0.007190, 0.002196, 0.003834, 0.135227, -0.990807, 0.000000, 0.000000, 0.000000, 0.004489, 0.018417, -0.012108, 0.003807, -0.014567, 0.018298, 0.010744, 0.021950, -0.009068, 0.000740, -0.015180, 0.011033, 0.016704, 0.001798, 0.000549, 0.003834, 0.135227, -0.990807, 0.000000, 0.000000, 0.000000, -0.105558, -0.214689, 0.228461, 0.103211, -0.155198, 0.175215, -0.116548, -0.222298, 0.210984, 0.046906, -0.108966, 0.200328, 0.000224, 0.000921, -0.000605, 0.000190, -0.000728, 0.000915, 0.000537, 0.001098, -0.000453, 0.000037, -0.000759, 0.000552, 0.837685, -1.393878, 0.608292, 0.906063, 0.254866, -0.880438, -0.381299, 2.675560, -3.318349, -0.360118, -1.778296, 0.959601, -0.008111, -0.128064, 0.969766
0.002000, -0.105559, 0.570332, 2.584248, 0.103211, 0.629787, 2.531036, -0.116536, 0.562720, 2.566775, 0.046907, 0.676013, 2.556171, 10.510453, -6.719277, -3.800210, 0.499355, 10.968884, -19.796900, 3.426653, 44.527942, -52.014332, -4.597639, -16.752674, 1.936765, 2.840000, 12.260000, -11.420000, -2.680000, 8.660000, -8.820000, 3.140000, 12.180000, -10.420000, -1.600000, 8.580000, -9.280000, 0.104711, 0.436531, 2.507873, 0.113258, 0.848717, 2.135690, -0.047662, 1.453890, 1.526213, -0.045015, 0.340426, 2.595700, 0.066090, 0.004255, 0.001645, -0.135576, 0.003842, -0.881050, 60782, 0.066090, 0.004255, 0.001645, 0.003842, 0.135160, -0.990816, 0.000000, 0.000000, 0.000000, 0.002024, 0.019479, -0.012367, 0.001987, -0.014924, 0.019736, 0.011337, 0.020368, -0.009189, 0.001023, -0.017790, 0.026449, 0.016522, 0.001064, 0.000411, 0.003842, 0.135160, -0.990816, 0.000000, 0.000000, 0.000000, -0.105559, -0.214668, 0.228448, 0.103211, -0.155213, 0.175236, -0.116536, -0.222280, 0.210975, 0.046907, -0.108987, 0.200371, 0.000101, 0.000974, -0.000618, 0.000099, -0.000746, 0.000987, 0.000567, 0.001018, -0.000459, 0.000051, -0.000890, 0.001322, 0.837685, -1.393878, 0.608292, 0.906063, 0.254866, -0.880438, -0.381299, 2.675560, -3.318349, -0.360118, -1.778296, 0.959601, -0.006984, -0.130882, 0.984164
0.003000, -0.105558, 0.570354, 2.584234, 0.103213, 0.629771, 2.531049, -0.116524, 0.562740, 2.566770, 0.046911, 0.675993, 2.556195, 10.511394, -6.722163, -3.798353, 0.499758, 10.970440, -19.792451, 3.426100, 44.527737, -52.016836, -4.599970, -16.749599, 1.937857, 2.760000, 12.180000, -11.420000, -2.520000, 8.660000, -8.900000, 3.140000, 11.960000, -10.500000, -1.600000, 8.580000, -9.360000, 0.104711, 0.436531, 2.507873, 0.113258, 0.848717, 2.135690, -0.047662, 1.453890, 1.526213, -0.045015, 0.340426, 2.595700, 0.067712, 0.003115, 0.001577, -0.135216, 0.005531, -0.881217, 60782, 0.067712, 0.003115, 0.001577, 0.005531, 0.134802, -0.990857, 0.000000, 0.000000, 0.000000, 0.001375, 0.020671, -0.013139, 0.001674, -0.015428, 0.016348, 0.011328, 0.019861, -0.007342, 0.002444, -0.019152, 0.024945, 0.016928, 0.000779, 0.000394, 0.005531, 0.134802, -0.990857, 0.000000, 0.000000, 0.000000, -0.105558, -0.214646, 0.228434, 0.103213, -0.155229, 0.175249, -0.116524, -0.222261, 0.210970, 0.046911, -0.109007, 0.200395, 0.000069, 0.001034, -0.000657, 0.000084, -0.000771, 0.000817, 0.000566, 0.000993, -0.000367, 0.000122, -0.000958, 0.001247, 0.837685, -1.393878, 0.608292, 0.906063, 0.254866, -0.880438, -0.381299, 2.675560, -3.318349, -0.360118, -1.778296, 0.959601, -0.006636, -0.125857, 0.980752
0.004000, -0.105554, 0.570368, 2.584255, 0.103212, 0.629755, 2.531065, -0.116513, 0.562760, 2.566754, 0.046911, 0.675975, 2.556195, 10.508804, -6.718575, -3.824121, 0.501469, 10.971123, -19.792985, 3.425541, 44.526147, -52.010354, -4.598217, -16.749543, 1.955746, 10.960000, -7.360000, -3.300000, 0.160000, 11.200000, -20.780000, 3.300000, 46.600000, -53.960000, -4.600000, -17.160000, -9.360000, 0.104711, 0.436531, 2.507873, 0.113258, 0.848717, 2.135690, -0.047662, 1.453890, 1.526213, -0.045015, 0.340426, 2.595700, 0.067712, 0.003115, 0.001577, -0.135147, 0.005534, -0.881214, 60782, 0.067712, 0.003115, 0.001577, 0.005534, 0.134734, -0.990866, 0.000000, 0.000000, 0.000000, 0.002946, 0.017791, 0.003329, 0.000555, -0.015373, 0.016171, 0.011324, 0.020233, -0.011153, 0.001275, -0.018590, 0.013018, 0.016928, 0.000779, 0.000394, 0.005534, 0.134734, -0.990866, 0.000000, 0.000000, 0.000000, -0.105554, -0.214632, 0.228456, 0.103212, -0.155245, 0.175265, -0.116513, -0.222240, 0.210954, 0.046911, -0.109025, 0.200395, 0.000147, 0.000890, 0.000166, 0.000028, -0.000769, 0.000809, 0.000566, 0.001012, -0.000558, 0.000064, -0.000930, 0.000651, 0.837685, -1.393878, 0.608292, 0.906063, 0.254866, -0.880438, -0.381299, 2.675560, -3.318349, -0.360118, -1.778296, 0.959601, -0.006636, -0.125857, 0.980752
0.005000, -0.105338, 0.570102, 2.584584, 0.103286, 0.629796, 2.530893, -0.116490, 0.563325, 2.566072, 0.046867, 0.675472, 2.556539, 10.345425, -6.501506, -4.074056, 0.445171, 10.928940, -19.649097, 3.415785, 44.107520, -51.494808, -4.563592, -16.377240, 1.700501, 10.280000, -6.820000, -3.980000, 0.160000, 10.880000, -20.000000, 3.140000, 45.000000, -53.040000, -4.520000, -16.020000, 1.380000, 0.104711, 0.436531, 2.507873, 0.113258, 0.848717, 2.135690, -0.047662, 1.453890, 1.526213, -0.045015, 0.340426, 2.595700, 0.069422, 0.005105, 0.002373, -0.135077, 0.005539, -0.881210, 60782, 0.069422, 0.005105, 0.002373, 0.005539, 0.134665, -0.990876, 0.000000, 0.000000, 0.000000, 0.104674, -0.118045, 0.158990, 0.035624, 0.011395, -0.074006, 0.017051, 0.280498, -0.332103, -0.020344, -0.250036, 0.171686, 0.017355, 0.001276, 0.000593, 0.005539, 0.134665, -0.990876, 0.000000, 0.000000, 0.000000, -0.105338, -0.214898, 0.228784, 0.103286, -0.155204, 0.175093, -0.116490, -0.221675, 0.210272, 0.046867, -0.109528, 0.200740, 0.005234, -0.005902, 0.007949, 0.001781, 0.000570, -0.003700, 0.000853, 0.014025, -0.016605, -0.001017, -0.012502, 0.008584, 0.837685, -1.393878, 0.608292, 0.906063, 0.254866, -0.880438, -0.381299, 2.675560, -3.318349, -0.360118, -1.778296, 0.959601, -0.014288, 0.033606, 0.953667
0.006000, -0.104790, 0.569360, 2.585249, 0.103432, 0.629910, 2.529970, -0.116424, 0.565341, 2.563604, 0.046692, 0.673666, 2.557359, 9.999616, -6.017161, -4.469787, 0.358349, 10.849259, -18.994748, 3.377957, 42.762057, -49.839538, -4.443337, -15.170826, 1.194865, 10.200000, -6.600000, -4.060000, 0.160000, 11.120000, -19.400000, 3.220000, 43.760000, -51.440000, -4.440000, -15.260000, 1.300000, 0.104711, 0.436531, 2.507873, 0.113258, 0.848717, 2.135690, -0.047662, 1.453890, 1.526213, -0.045015, 0.340426, 2.595700, 0.062846, 0.011473, 0.004730, -0.135016, 0.005553, -0.881203, 60782, 0.062846, 0.011473, 0.004730, 0.005553, 0.134604, -0.990884, 0.000000, 0.000000, 0.000000, 0.316927, -0.416219, 0.400662, 0.088623, 0.060698, -0.479501, 0.040094, 1.110273, -1.353346, -0.094655, -0.994103, 0.481457, 0.015712, 0.002868, 0.001182, 0.005553, 0.134604, -0.990884, 0.000000, 0.000000, 0.000000, -0.104790, -0.215640, 0.229449, 0.103432, -0.155090, 0.174170, -0.116424, -0.219659, 0.207804, 0.046692, -0.111334, 0.201559, 0.015846, -0.020811, 0.020033, 0.004431, 0.003035, -0.023975, 0.002005, 0.055514, -0.067667, -0.004733, -0.049705, 0.024073, 0.837685, -1.393878, 0.608292, 0.906063, 0.254866, -0.880438, -0.381299, 2.675560, -3.318349, -0.360118, -1.778296, 0.959601, -0.024864, 0.257328, 0.942961
0.007000, -0.104074, 0.568313, 2.586154, 0.103862, 0.630045, 2.529106, -0.116314, 0.568479, 2.559768, 0.046420, 0.670792, 2.557359, 9.678334, -5.512211, -4.876588, 0.091946, 10.789613, -18.675646, 3.321923, 41.151029, -47.867542, -4.302824, -13.679262, 1.540152, 10.340000, -6.440000, -4.140000, 0.160000, 11.040000, -19.240000, 3.140000, 43.300000, -50.980000, -4.440000, -15.100000, 1.300000, 0.104711, 0.436531, 2.507873, 0.113258, 0.848717, 2.135690, -0.047662, 1.453890, 1.526213, -0.045015, 0.340426, 2.595700, -0.094484, 0.173333, 0.018962, -0.135034, 0.005631, -0.881181, 60782, -0.094484, 0.173333, 0.018962, 0.005631, 0.134622, -0.990881, 0.000000, 0.000000, 0.000000, 0.507280, -0.717942, 0.641702, 0.251888, 0.095979, -0.663429, 0.073766, 2.079696, -2.540156, -0.179275, -1.892694, 0.251266, -0.023621, 0.043333, 0.004741, 0.005631, 0.134622, -0.990881, 0.000000, 0.000000, 0.000000, -0.104074, -0.216687, 0.230354, 0.103862, -0.154955, 0.173306, -0.116314, -0.216521, 0.203968, 0.046420, -0.114208, 0.201559, 0.025364, -0.035897, 0.032085, 0.012594, 0.004799, -0.033171, 0.003688, 0.103985, -0.127008, -0.008964, -0.094635, 0.012563, 0.837685, -1.393878, 0.608292, 0.906063, 0.254866, -0.880438, -0.381299, 2.675560, -3.318349, -0.360118, -1.778296, 0.959601, 0.014369, 0.373874, 0.871903
0.008000, -0.103240, 0.567055, 2.587184, 0.104235, 0.630169, 2.527311, -0.116155, 0.572332, 2.555028, 0.046103, 0.667063, 2.559893, 9.401628, -5.062244, -5.206547, -0.013441, 10.763443, -17.774388, 3.253262, 39.686160, -46.053060, -4.188266, -12.175795, -0.223659, 10.040000, -6.360000, -4.360000, 0.080000, 10.960000, -19.160000, 3.220000, 43.000000, -50.200000, -4.360000, -14.800000, 1.140000, 0.104711, 0.436531, 2.507873, 0.113258, 0.848717, 2.135690, -0.047662, 1.453890, 1.526213, -0.045015, 0.340426, 2.595700, -0.094484, 0.173333, 0.018962, -0.135158, 0.005843, -0.881159, 60782, -0.094484, 0.173333, 0.018962, 0.005843, 0.134745, -0.990863, 0.000000, 0.000000, 0.000000, 0.663920, -0.975998, 0.827342, 0.309718, 0.109298, -1.204436, 0.114259, 2.927822, -3.591819, -0.245083, -2.770702, 1.342673, -0.023621, 0.043333, 0.004741, 0.005843, 0.134745, -0.990863, 0.000000, 0.000000, 0.000000, -0.103240, -0.217945, 0.231384, 0.104235, -0.154831, 0.171511, -0.116155, -0.212668, 0.199229, 0.046103, -0.117937, 0.204093, 0.033196, -0.048800, 0.041367, 0.015486, 0.005465, -0.060222, 0.005713, 0.146391, -0.179591, -0.012254, -0.138535, 0.067134, 0.837685, -1.393878, 0.608292, 0.906063, 0.254866, -0.880438, -0.381299, 2.675560, -3.318349, -0.360118, -1.778296, 0.959601, 0.014369, 0.373874, 0.871903
0.009000, -0.102273, 0.565672, 2.588278, 0.105037, 0.630278, 2.526092, -0.115954, 0.576550, 2.549817, 0.045777, 0.662823, 2.561378, 9.136638, -4.700811, -5.452916, -0.406805, 10.758061, -17.702946, 3.180951, 38.550149, -44.631172, -4.113753, -10.910246, -0.400272, 9.740000, -5.740000, -4.600000, 0.080000, 10.880000, -18.620000, 2.980000, 42.080000, -48.900000, -4.520000, -14.260000, 0.760000, 0.104711, 0.436531, 2.507873, 0.113258, 0.848717, 2.135690, -0.047662, 1.453890, 1.526213, -0.045015, 0.340426, 2.595700, -0.159004, 0.240526, 0.018705, -0.135338, 0.006107, -0.881137, 60782, -0.159004, 0.240526, 0.018705, 0.006107, 0.134922, -0.990837, 0.000000, 0.000000, 0.000000, 0.808378, -1.170836, 0.955102, 0.545218, 0.109246, -1.211429, 0.155764, 3.544570, -4.366040, -0.283884, -3.473076, 1.410902, -0.039751, 0.060132, 0.004676, 0.006107, 0.134922, -0.990837, 0.000000, 0.000000, 0.000000, -0.102273, -0.219328, 0.232478, 0.105037, -0.154722, 0.170292, -0.115954, -0.208450, 0.194017, 0.045777, -0.122177, 0.205579, 0.040419, -0.058542, 0.047755, 0.027261, 0.005462, -0.060571, 0.007788, 0.177229, -0.218302, -0.014194, -0.173654, 0.070545, 0.837685, -1.393878, 0.608292, 0.906063, 0.254866, -0.880438, -0.381299, 2.675560, -3.318349, -0.360118, -1.778296, 0.959601, -0.027519, -0.594279, 0.292965
0.010000, -0.101228, 0.564213, 2.589349, 0.105574, 0.630370, 2.524059, -0.115687, 0.580724, 2.544577, 0.045485, 0.658586, 2.562922, 8.913956, -4.421392, -5.589781, -0.427475, 10.765923, -17.011840, 3.087328, 37.890163, -43.742059, -4.093116, -10.150463, -0.572901, 9.580000, -5.360000, -4.900000, 0.000000, 10.800000, -18.400000, 2.980000, 41.160000, -47.520000, -4.360000, -13.340000, 1.300000, 0.104711, 0.436531, 2.507873, 0.113258, 0.848717, 2.135690, -0.047662, 1.453890, 1.526213, -0.045015, 0.340426, 2.595700, 0.009030, 0.215077, 0.010069, -0.135353, 0.006338, -0.881126, 60782, 0.009030, 0.215077, 0.010069, 0.006338, 0.134938, -0.990834, 0.000000, 0.000000, 0.000000, 0.921968, -1.308490, 1.010637, 0.541110, 0.100943, -1.604388, 0.209257, 3.845433, -4.784101, -0.287899, -3.838362, 1.474523, 0.002257, 0.053769, 0.002517, 0.006338, 0.134938, -0.990834, 0.000000, 0.000000, 0.000000, -0.101228, -0.220787, 0.233549, 0.105574, -0.154630, 0.168259, -0.115687, -0.204276, 0.188777, 0.045485, -0.126414, 0.207122, 0.046098, -0.065425, 0.050532, 0.027056, 0.005047, -0.080219, 0.010463, 0.192272, -0.239205, -0.014395, -0.191918, 0.073726, 0.837685, -1.393878, 0.608292, 0.906063, 0.254866, -0.880438, -0.381299, 2.675560, -3.318349, -0.360118, -1.778296, 0.959601, 0.056857, -0.396241, 1.346158
