t, joint_angle_0, joint_angle_1, joint_angle_2, joint_angle_3, joint_angle_4, joint_angle_5, joint_angle_6, joint_angle_7, joint_angle_8, joint_angle_9, joint_angle_10, joint_angle_11, ctrl_input_0, ctrl_input_1, ctrl_input_2, ctrl_input_3, ctrl_input_4, ctrl_input_5, ctrl_input_6, ctrl_input_7, ctrl_input_8, ctrl_input_9, ctrl_input_10, ctrl_input_11, actuator_torque_0, actuator_torque_1, actuator_torque_2, actuator_torque_3, actuator_torque_4, actuator_torque_5, actuator_torque_6, actuator_torque_7, actuator_torque_8, actuator_torque_9, actuator_torque_10, actuator_torque_11, joint_ref_0, joint_ref_1, joint_ref_2, joint_ref_3, joint_ref_4, joint_ref_5, joint_ref_6, joint_ref_7, joint_ref_8, joint_ref_9, joint_ref_10, joint_ref_11, body_rot_rate_0, body_rot_rate_1, body_rot_rate_2, body_rot_0, body_rot_1, body_rot_2, policy_obs_seq, policy_base_ang_vel_0, policy_base_ang_vel_1, policy_base_ang_vel_2, policy_projected_gravity_0, policy_projected_gravity_1, policy_projected_gravity_2, policy_velocity_command_0, policy_velocity_command_1, policy_velocity_command_2, policy_joint_vel_rel_0, policy_joint_vel_rel_1, policy_joint_vel_rel_2, policy_joint_vel_rel_3, policy_joint_vel_rel_4, policy_joint_vel_rel_5, policy_joint_vel_rel_6, policy_joint_vel_rel_7, policy_joint_vel_rel_8, policy_joint_vel_rel_9, policy_joint_vel_rel_10, policy_joint_vel_rel_11, policy_obs_0, policy_obs_1, policy_obs_2, policy_obs_3, policy_obs_4, policy_obs_5, policy_obs_6, policy_obs_7, policy_obs_8, policy_obs_9, policy_obs_10, policy_obs_11, policy_obs_12, policy_obs_13, policy_obs_14, policy_obs_15, policy_obs_16, policy_obs_17, policy_obs_18, policy_obs_19, policy_obs_20, policy_obs_21, policy_obs_22, policy_obs_23, policy_obs_24, policy_obs_25, policy_obs_26, policy_obs_27, policy_obs_28, policy_obs_29, policy_obs_30, policy_obs_31, policy_obs_32, policy_obs_33, policy_obs_34, policy_obs_35, policy_obs_36, policy_obs_37, policy_obs_38, policy_obs_39, policy_obs_40, policy_obs_41, policy_obs_42, policy_obs_43, policy_obs_44, body_accel_0, body_accel_1, body_accel_2
0.001000, -0.127793, 0.526543, 2.582413, 0.111836, 0.608845, 2.529629, -0.119993, 0.542850, 2.617932, 0.097439, 0.633935, 2.564629, 15.545453, 30.137098, -20.001614, -2.370655, 6.385106, 0.584860, 10.164104, 35.317755, -48.957360, -5.484260, -3.568640, -1.862276, 3.900000, 14.560000, -11.420000, -3.380000, 9.580000, -8.820000, 3.300000, 13.040000, -12.800000, -2.520000, 8.500000, -10.200000, 0.182509, 1.128082, 2.182582, 0.064401, 0.736604, 2.540864, 0.083104, 1.249183, 1.638972, -0.012281, 0.563296, 2.526556, -0.077999, 0.024299, 0.000113, -0.161060, -0.006596, -0.734887, 109315, -0.077999, 0.024299, 0.000113, -0.006596, 0.160361, -0.987036, 0.000000, 0.000000, 0.000000, -0.020234, -0.040082, 0.006702, -0.000759, 0.001905, -0.015412, -0.006180, -0.000736, 0.006238, -0.001144, 0.024457, -0.027589, -0.019500, 0.006075, 0.000028, -0.006596, 0.160361, -0.987036, 0.000000, 0.000000, 0.000000, -0.127793, -0.258457, 0.226613, 0.111836, -0.176155, 0.173829, -0.119993, -0.242150, 0.262132, 0.097439, -0.151065, 0.208830, -0.001012, -0.002004, 0.000335, -0.000038, 0.000095, -0.000771, -0.000309, -0.000037, 0.000312, -0.000057, 0.001223, -0.001379, 1.460071, 1.372329, -0.692872, 0.515205, -0.193584, 0.740256, 0.664830, 1.856731, -2.867311, -0.098246, -0.886815, 0.683025, 0.002554, -0.175395, 0.970734
0.002000, -0.127817, 0.526498, 2.582433, 0.111834, 0.608845, 2.529613, -0.120002, 0.542850, 2.617938, 0.097439, 0.633961, 2.564606, 15.548819, 30.142574, -20.012131, -2.369667, 6.385962, 0.586066, 10.166312, 35.317227, -48.956972, -5.485080, -3.570509, -1.864185, 3.840000, 14.640000, -11.580000, -3.220000, 9.500000, -8.820000, 3.300000, 13.100000, -12.880000, -2.460000, 8.500000, -10.340000, 0.182509, 1.128082, 2.182582, 0.064401, 0.736604, 2.540864, 0.083104, 1.249183, 1.638972, -0.012281, 0.563296, 2.526556, -0.076535, 0.023366, 0.000459, -0.161136, -0.006573, -0.734885, 109315, -0.076535, 0.023366, 0.000459, -0.006573, 0.160436, -0.987024, 0.000000, 0.000000, 0.000000, -0.021701, -0.042246, 0.013047, -0.001351, 0.001313, -0.015683, -0.007363, -0.000384, 0.005802, -0.000597, 0.024860, -0.025540, -0.019134, 0.005842, 0.000115, -0.006573, 0.160436, -0.987024, 0.000000, 0.000000, 0.000000, -0.127817, -0.258502, 0.226633, 0.111834, -0.176155, 0.173813, -0.120002, -0.242150, 0.262138, 0.097439, -0.151039, 0.208806, -0.001085, -0.002112, 0.000652, -0.000068, 0.000066, -0.000784, -0.000368, -0.000019, 0.000290, -0.000030, 0.001243, -0.001277, 1.460071, 1.372329, -0.692872, 0.515205, -0.193584, 0.740256, 0.664830, 1.856731, -2.867311, -0.098246, -0.886815, 0.683025, 0.000527, -0.175246, 0.977351
0.003000, -0.127839, 0.526459, 2.582447, 0.111832, 0.608845, 2.529594, -0.120008, 0.542850, 2.617937, 0.097437, 0.633985, 2.564578, 15.550622, 30.142412, -20.013500, -2.369104, 6.386903, 0.589120, 10.165628, 35.316951, -48.952300, -5.484486, -3.571068, -1.861049, 3.900000, 14.720000, -11.500000, -3.300000, 9.660000, -8.740000, 3.300000, 12.960000, -12.720000, -2.460000, 8.500000, -10.340000, 0.182509, 1.128082, 2.182582, 0.064401, 0.736604, 2.540864, 0.083104, 1.249183, 1.638972, -0.012281, 0.563296, 2.526556, -0.075039, 0.022921, 0.000847, -0.161210, -0.006551, -0.734883, 109315, -0.075039, 0.022921, 0.000847, -0.006551, 0.160510, -0.987013, 0.000000, 0.000000, 0.000000, -0.022149, -0.040829, 0.013494, -0.001660, 0.000685, -0.017098, -0.006708, -0.000201, 0.002710, -0.000948, 0.024434, -0.026698, -0.018760, 0.005730, 0.000212, -0.006551, 0.160510, -0.987013, 0.000000, 0.000000, 0.000000, -0.127839, -0.258541, 0.226647, 0.111832, -0.176155, 0.173794, -0.120008, -0.242150, 0.262137, 0.097437, -0.151015, 0.208778, -0.001107, -0.002041, 0.000675, -0.000083, 0.000034, -0.000855, -0.000335, -0.000010, 0.000135, -0.000047, 0.001222, -0.001335, 1.460071, 1.372329, -0.692872, 0.515205, -0.193584, 0.740256, 0.664830, 1.856731, -2.867311, -0.098246, -0.886815, 0.683025, 0.002003, -0.167536, 0.986314
0.004000, -0.127861, 0.526428, 2.582447, 0.111825, 0.608847, 2.529583, -0.120012, 0.542850, 2.617912, 0.097435, 0.634011, 2.564542, 15.551593, 30.137137, -20.003822, -2.364165, 6.386373, 0.585541, 10.164393, 35.316297, -48.930947, -5.483634, -3.573976, -1.852614, 16.100000, 31.820000, -11.500000, -2.300000, 9.580000, 0.460000, 10.340000, 36.640000, -52.120000, -5.520000, -3.440000, -10.340000, 0.182509, 1.128082, 2.182582, 0.064401, 0.736604, 2.540864, 0.083104, 1.249183, 1.638972, -0.012281, 0.563296, 2.526556, -0.075592, 0.021791, 0.002211, -0.161286, -0.006529, -0.734879, 109315, -0.075592, 0.021791, 0.002211, -0.006529, 0.160584, -0.987001, 0.000000, 0.000000, 0.000000, -0.022064, -0.036269, 0.007042, -0.004686, 0.000994, -0.014335, -0.005729, 0.000214, -0.010682, -0.001450, 0.025485, -0.031123, -0.018898, 0.005448, 0.000553, -0.006529, 0.160584, -0.987001, 0.000000, 0.000000, 0.000000, -0.127861, -0.258572, 0.226647, 0.111825, -0.176153, 0.173783, -0.120012, -0.242150, 0.262112, 0.097435, -0.150989, 0.208742, -0.001103, -0.001813, 0.000352, -0.000234, 0.000050, -0.000717, -0.000286, 0.000011, -0.000534, -0.000072, 0.001274, -0.001556, 1.460071, 1.372329, -0.692872, 0.515205, -0.193584, 0.740256, 0.664830, 1.856731, -2.867311, -0.098246, -0.886815, 0.683025, 0.006975, -0.163495, 0.991202
0.005000, -0.127689, 0.526651, 2.582056, 0.111836, 0.608851, 2.529825, -0.119839, 0.543216, 2.616942, 0.097384, 0.633839, 2.564500, 15.403990, 29.939505, -19.698946, -2.376209, 6.384021, 0.389849, 10.026972, 35.036034, -48.194919, -5.445344, -3.423408, -1.842245, 15.640000, 30.740000, -19.860000, -2.460000, 6.140000, 0.080000, 9.880000, 35.560000, -49.520000, -5.520000, -3.140000, -1.460000, 0.182509, 1.128082, 2.182582, 0.064401, 0.736604, 2.540864, 0.083104, 1.249183, 1.638972, -0.012281, 0.563296, 2.526556, -0.074520, 0.022945, 0.001732, -0.161360, -0.006506, -0.734876, 109315, -0.074520, 0.022945, 0.001732, -0.006506, 0.160657, -0.986989, 0.000000, 0.000000, 0.000000, 0.070613, 0.088029, -0.183181, 0.002966, 0.002429, 0.108071, 0.080093, 0.174871, -0.469055, -0.025268, -0.069146, -0.036615, -0.018630, 0.005736, 0.000433, -0.006506, 0.160657, -0.986989, 0.000000, 0.000000, 0.000000, -0.127689, -0.258349, 0.226256, 0.111836, -0.176149, 0.174025, -0.119839, -0.241784, 0.261142, 0.097384, -0.151161, 0.208700, 0.003531, 0.004401, -0.009159, 0.000148, 0.000121, 0.005404, 0.004005, 0.008744, -0.023453, -0.001263, -0.003457, -0.001831, 1.460071, 1.372329, -0.692872, 0.515205, -0.193584, 0.740256, 0.664830, 1.856731, -2.867311, -0.098246, -0.886815, 0.683025, 0.006681, -0.044169, 0.982120
0.006000, -0.126990, 0.527330, 2.581358, 0.111924, 0.608796, 2.530506, -0.119372, 0.544595, 2.614497, 0.097221, 0.633102, 2.564655, 14.917806, 29.482157, -19.294515, -2.442015, 6.427646, -0.055169, 9.726359, 34.103631, -46.655234, -5.338325, -2.907569, -1.987515, 15.180000, 30.280000, -19.620000, -2.300000, 6.200000, -0.000000, 9.660000, 34.720000, -48.140000, -5.440000, -2.760000, -1.920000, 0.182509, 1.128082, 2.182582, 0.064401, 0.736604, 2.540864, 0.083104, 1.249183, 1.638972, -0.012281, 0.563296, 2.526556, -0.088102, 0.024885, 0.005414, -0.161452, -0.006480, -0.734868, 109315, -0.088102, 0.024885, 0.005414, -0.006480, 0.160748, -0.986974, 0.000000, 0.000000, 0.000000, 0.371410, 0.370313, -0.429521, 0.043885, -0.024835, 0.382046, 0.264944, 0.750512, -1.413997, -0.091176, -0.388471, 0.055060, -0.022025, 0.006221, 0.001353, -0.006480, 0.160748, -0.986974, 0.000000, 0.000000, 0.000000, -0.126990, -0.257670, 0.225558, 0.111924, -0.176204, 0.174706, -0.119372, -0.240405, 0.258697, 0.097221, -0.151898, 0.208855, 0.018571, 0.018516, -0.021476, 0.002194, -0.001242, 0.019102, 0.013247, 0.037526, -0.070700, -0.004559, -0.019424, 0.002753, 1.460071, 1.372329, -0.692872, 0.515205, -0.193584, 0.740256, 0.664830, 1.856731, -2.867311, -0.098246, -0.886815, 0.683025, -0.001501, 0.339576, 1.131672
0.007000, -0.125926, 0.528315, 2.581358, 0.112026, 0.608664, 2.531578, -0.118720, 0.546705, 2.610913, 0.097027, 0.631889, 2.565126, 14.367952, 28.991787, -19.602556, -2.488180, 6.511480, -0.604035, 9.416320, 33.023230, -44.919808, -5.255079, -2.255536, -2.309656, 15.020000, 30.120000, -19.620000, -2.520000, 6.440000, -0.000000, 9.580000, 34.500000, -48.060000, -5.600000, -2.980000, -2.220000, 0.182509, 1.128082, 2.182582, 0.064401, 0.736604, 2.540864, 0.083104, 1.249183, 1.638972, -0.012281, 0.563296, 2.526556, -0.163126, 0.062621, 0.011190, -0.161639, -0.006404, -0.734855, 109315, -0.163126, 0.062621, 0.011190, -0.006404, 0.160933, -0.986944, 0.000000, 0.000000, 0.000000, 0.702515, 0.664380, -0.224161, 0.071288, -0.076308, 0.712204, 0.449910, 1.400450, -2.451482, -0.140216, -0.782724, 0.254109, -0.040781, 0.015655, 0.002798, -0.006404, 0.160933, -0.986944, 0.000000, 0.000000, 0.000000, -0.125926, -0.256685, 0.225558, 0.112026, -0.176336, 0.175778, -0.118720, -0.238295, 0.255113, 0.097027, -0.153111, 0.209326, 0.035126, 0.033219, -0.011208, 0.003564, -0.003815, 0.035610, 0.022495, 0.070022, -0.122574, -0.007011, -0.039136, 0.012705, 1.460071, 1.372329, -0.692872, 0.515205, -0.193584, 0.740256, 0.664830, 1.856731, -2.867311, -0.098246, -0.886815, 0.683025, 0.042870, 0.749125, 1.269220
0.008000, -0.124550, 0.529462, 2.579422, 0.112287, 0.608534, 2.532911, -0.117912, 0.549299, 2.606462, 0.096887, 0.630396, 2.565819, 13.816514, 28.588196, -18.277983, -2.637278, 6.556355, -1.115835, 9.119412, 32.037101, -43.263408, -5.247864, -1.671725, -2.659134, 14.720000, 29.980000, -19.460000, -2.520000, 6.200000, -0.080000, 9.500000, 34.340000, -46.980000, -5.600000, -3.060000, -2.140000, 0.182509, 1.128082, 2.182582, 0.064401, 0.736604, 2.540864, 0.083104, 1.249183, 1.638972, -0.012281, 0.563296, 2.526556, -0.314944, 0.062828, 0.004990, -0.162002, -0.006341, -0.734852, 109315, -0.314944, 0.062828, 0.004990, -0.006341, 0.161292, -0.986886, 0.000000, 0.000000, 0.000000, 1.024290, 0.895203, -1.042672, 0.161987, -0.101897, 1.008974, 0.620928, 1.971383, -3.407389, -0.140343, -1.122174, 0.463991, -0.078736, 0.015707, 0.001247, -0.006341, 0.161292, -0.986886, 0.000000, 0.000000, 0.000000, -0.124550, -0.255538, 0.223622, 0.112287, -0.176466, 0.177111, -0.117912, -0.235701, 0.250662, 0.096887, -0.154604, 0.210019, 0.051214, 0.044760, -0.052134, 0.008099, -0.005095, 0.050449, 0.031046, 0.098569, -0.170369, -0.007017, -0.056109, 0.023200, 1.460071, 1.372329, -0.692872, 0.515205, -0.193584, 0.740256, 0.664830, 1.856731, -2.867311, -0.098246, -0.886815, 0.683025, 0.010003, 0.421942, 0.362460
0.009000, -0.122924, 0.530603, 2.578428, 0.112501, 0.608459, 2.534423, -0.116944, 0.552139, 2.601456, 0.096816, 0.628743, 2.566649, 13.303792, 28.355251, -18.263170, -2.685575, 6.540995, -1.551688, 8.822057, 31.271953, -41.866570, -5.294371, -1.208772, -2.963310, 14.100000, 29.740000, -19.160000, -2.600000, 6.200000, -0.380000, 9.200000, 33.500000, -45.600000, -5.520000, -2.600000, -2.060000, 0.182509, 1.128082, 2.182582, 0.064401, 0.736604, 2.540864, 0.083104, 1.249183, 1.638972, -0.012281, 0.563296, 2.526556, -0.376669, 0.116388, 0.007807, -0.162399, -0.006207, -0.734844, 109315, -0.376669, 0.116388, 0.007807, -0.006207, 0.161683, -0.986823, 0.000000, 0.000000, 0.000000, 1.311909, 1.012482, -1.019413, 0.187039, -0.089149, 1.249164, 0.786897, 2.386806, -4.171745, -0.106985, -1.375727, 0.639100, -0.094167, 0.029097, 0.001952, -0.006207, 0.161683, -0.986823, 0.000000, 0.000000, 0.000000, -0.122924, -0.254397, 0.222628, 0.112501, -0.176541, 0.178623, -0.116944, -0.232861, 0.245656, 0.096816, -0.156257, 0.210850, 0.065595, 0.050624, -0.050971, 0.009352, -0.004457, 0.062458, 0.039345, 0.119340, -0.208587, -0.005349, -0.068786, 0.031955, 1.460071, 1.372329, -0.692872, 0.515205, -0.193584, 0.740256, 0.664830, 1.856731, -2.867311, -0.098246, -0.886815, 0.683025, -0.085491, -0.597210, 0.280014
0.010000, -0.121091, 0.531669, 2.577554, 0.112916, 0.608465, 2.535983, -0.115822, 0.554935, 2.596388, 0.096785, 0.627016, 2.567588, 12.838492, 28.263624, -18.323616, -2.869649, 6.472463, -1.853081, 8.525740, 30.838956, -40.970404, -5.347092, -0.869942, -3.224648, 13.880000, 29.120000, -19.160000, -2.460000, 6.360000, -0.680000, 8.960000, 33.040000, -44.380000, -5.360000, -2.000000, -2.220000, 0.182509, 1.128082, 2.182582, 0.064401, 0.736604, 2.540864, 0.083104, 1.249183, 1.638972, -0.012281, 0.563296, 2.526556, -0.308685, 0.061725, 0.017011, -0.162686, -0.006160, -0.734824, 109315, -0.308685, 0.061725, 0.017011, -0.006160, 0.161966, -0.986777, 0.000000, 0.000000, 0.000000, 1.561012, 1.038036, -0.949976, 0.295929, -0.043661, 1.398072, 0.947046, 2.582282, -4.600255, -0.070795, -1.544023, 0.782056, -0.077171, 0.015431, 0.004253, -0.006160, 0.161966, -0.986777, 0.000000, 0.000000, 0.000000, -0.121091, -0.253331, 0.221754, 0.112916, -0.176535, 0.180183, -0.115822, -0.230065, 0.240588, 0.096785, -0.157984, 0.211788, 0.078051, 0.051902, -0.047499, 0.014796, -0.002183, 0.069904, 0.047352, 0.129114, -0.230013, -0.003540, -0.077201, 0.039103, 1.460071, 1.372329, -0.692872, 0.515205, -0.193584, 0.740256, 0.664830, 1.856731, -2.867311, -0.098246, -0.886815, 0.683025, -0.016119, -0.682860, -0.061765
